Item_Name, Price
MP9 | Old Roots (Souvenir Battle-Scarred), 0.08
Desert Eagle | Golden Koi (Factory New), 116.99
Desert Eagle | Golden Koi (Minimal Wear), 94.88
StatTrak™ Desert Eagle | Golden Koi (Factory New), 221.96
StatTrak™ Desert Eagle | Golden Koi (Minimal Wear), 175.86
AWP | Wildfire (Factory New), 128.61
AWP | Wildfire (Minimal Wear), 81.86
AWP | Wildfire (Field-Tested), 50.10
AWP | Wildfire (Well-Worn), 46.56
AWP | Wildfire (Battle-Scarred), 36.82
StatTrak™ AWP | Wildfire (Factory New), 249.90
StatTrak™ AWP | Wildfire (Minimal Wear), 144.94
StatTrak™ AWP | Wildfire (Field-Tested), 91.12
StatTrak™ AWP | Wildfire (Well-Worn), 90.92
StatTrak™ AWP | Wildfire (Battle-Scarred), 86.55
★ Classic Knife | Blue Steel (Factory New), 273.77
★ Classic Knife | Blue Steel (Minimal Wear), 197.05
★ Classic Knife | Blue Steel (Field-Tested), 187.81
★ Classic Knife | Blue Steel (Well-Worn), 176.95
★ Classic Knife | Blue Steel (Battle-Scarred), 177.81
★ StatTrak™ Classic Knife | Blue Steel (Factory New), 917.14
★ StatTrak™ Classic Knife | Blue Steel (Minimal Wear), 218.26
★ StatTrak™ Classic Knife | Blue Steel (Field-Tested), 175.20
★ StatTrak™ Classic Knife | Blue Steel (Well-Worn), 169.00
★ StatTrak™ Classic Knife | Blue Steel (Battle-Scarred), 194.84
★ Classic Knife | Vanilla (Normal), 295.53
★ StatTrak™ Classic Knife | Vanilla (StatTrak), 302.00
Desert Eagle | Blaze (Factory New), 574.79
Desert Eagle | Blaze (Minimal Wear), 570.70
★ Flip Knife | Safari Mesh (Factory New), 206.98
★ Flip Knife | Safari Mesh (Minimal Wear), 152.30
★ Flip Knife | Safari Mesh (Field-Tested), 150.43
★ Flip Knife | Safari Mesh (Well-Worn), 135.91
★ Flip Knife | Safari Mesh (Battle-Scarred), 141.27
★ StatTrak™ Flip Knife | Safari Mesh (Factory New), 650.00
★ StatTrak™ Flip Knife | Safari Mesh (Minimal Wear), 157.42
★ StatTrak™ Flip Knife | Safari Mesh (Field-Tested), 146.47
★ StatTrak™ Flip Knife | Safari Mesh (Well-Worn), 151.99
★ StatTrak™ Flip Knife | Safari Mesh (Battle-Scarred), 164.26
Desert Eagle | Oxide Blaze (Factory New), 0.49
Desert Eagle | Oxide Blaze (Minimal Wear), 0.31
Desert Eagle | Oxide Blaze (Field-Tested), 0.22
Desert Eagle | Oxide Blaze (Well-Worn), 0.25
Desert Eagle | Oxide Blaze (Battle-Scarred), 0.23
StatTrak™ Desert Eagle | Oxide Blaze (Factory New), 1.88
StatTrak™ Desert Eagle | Oxide Blaze (Minimal Wear), 1.25
StatTrak™ Desert Eagle | Oxide Blaze (Field-Tested), 0.68
StatTrak™ Desert Eagle | Oxide Blaze (Well-Worn), 1.13
StatTrak™ Desert Eagle | Oxide Blaze (Battle-Scarred), 1.12
M4A4 | The Coalition (Factory New), 250.34
M4A4 | The Coalition (Minimal Wear), 90.27
M4A4 | The Coalition (Field-Tested), 28.54
M4A4 | The Coalition (Well-Worn), 13.96
M4A4 | The Coalition (Battle-Scarred), 12.62
★ Shadow Daggers | Vanilla (Normal), 128.67
★ StatTrak™ Shadow Daggers | Vanilla (StatTrak), 141.44
AWP | Desert Hydra (Factory New), 2,231.27
AWP | Desert Hydra (Minimal Wear), 1,875.36
AWP | Desert Hydra (Field-Tested), 1,531.90
AWP | Desert Hydra (Well-Worn), 1,325.80
AWP | Desert Hydra (Battle-Scarred), 1,210.85
AWP | Desert Hydra (Souvenir Factory New), 2,573.49
AWP | Desert Hydra (Souvenir Minimal Wear), 1,824.71
AWP | Desert Hydra (Souvenir Field-Tested), 1,450.00
AWP | Desert Hydra (Souvenir Well-Worn), 1,259.00
AWP | Desert Hydra (Souvenir Battle-Scarred), 1,130.00
Desert Eagle | Crimson Web (Factory New), 112.68
Desert Eagle | Crimson Web (Minimal Wear), 29.50
Desert Eagle | Crimson Web (Field-Tested), 9.74
Desert Eagle | Crimson Web (Well-Worn), 10.26
Desert Eagle | Crimson Web (Battle-Scarred), 7.30
StatTrak™ Desert Eagle | Crimson Web (Factory New), 282.80
StatTrak™ Desert Eagle | Crimson Web (Minimal Wear), 55.95
StatTrak™ Desert Eagle | Crimson Web (Field-Tested), 16.72
StatTrak™ Desert Eagle | Crimson Web (Well-Worn), 17.79
StatTrak™ Desert Eagle | Crimson Web (Battle-Scarred), 17.69
★ Gut Knife | Crimson Web (Factory New), 505.99
★ Gut Knife | Crimson Web (Minimal Wear), 158.50
★ Gut Knife | Crimson Web (Field-Tested), 117.72
★ Gut Knife | Crimson Web (Well-Worn), 117.00
★ Gut Knife | Crimson Web (Battle-Scarred), 110.24
★ StatTrak™ Gut Knife | Crimson Web (Factory New), 6,000.00
★ StatTrak™ Gut Knife | Crimson Web (Minimal Wear), 199.99
★ StatTrak™ Gut Knife | Crimson Web (Field-Tested), 129.37
★ StatTrak™ Gut Knife | Crimson Web (Well-Worn), 200.00
★ StatTrak™ Gut Knife | Crimson Web (Battle-Scarred), 164.09
FAMAS | ZX Spectron (Factory New), 7.51
FAMAS | ZX Spectron (Minimal Wear), 3.34
FAMAS | ZX Spectron (Field-Tested), 2.05
FAMAS | ZX Spectron (Well-Worn), 1.58
FAMAS | ZX Spectron (Battle-Scarred), 1.42
StatTrak™ FAMAS | ZX Spectron (Factory New), 21.55
StatTrak™ FAMAS | ZX Spectron (Minimal Wear), 9.61
StatTrak™ FAMAS | ZX Spectron (Field-Tested), 4.68
StatTrak™ FAMAS | ZX Spectron (Well-Worn), 3.77
StatTrak™ FAMAS | ZX Spectron (Battle-Scarred), 3.99
★ Karambit | Crimson Web (Factory New), 4,767.74
★ Karambit | Crimson Web (Minimal Wear), 1,242.43
★ Karambit | Crimson Web (Field-Tested), 922.51
★ Karambit | Crimson Web (Well-Worn), 807.63
★ Karambit | Crimson Web (Battle-Scarred), 743.99
★ StatTrak™ Karambit | Crimson Web (Factory New), 31,080.00
★ StatTrak™ Karambit | Crimson Web (Minimal Wear), 1,196.39
★ StatTrak™ Karambit | Crimson Web (Field-Tested), 869.23
★ StatTrak™ Karambit | Crimson Web (Well-Worn), 854.63
★ StatTrak™ Karambit | Crimson Web (Battle-Scarred), 802.98
M4A1-S | Atomic Alloy (Factory New), 80.85
M4A1-S | Atomic Alloy (Minimal Wear), 46.41
M4A1-S | Atomic Alloy (Field-Tested), 37.06
M4A1-S | Atomic Alloy (Well-Worn), 32.58
M4A1-S | Atomic Alloy (Battle-Scarred), 38.44
StatTrak™ M4A1-S | Atomic Alloy (Factory New), 121.91
StatTrak™ M4A1-S | Atomic Alloy (Minimal Wear), 79.86
StatTrak™ M4A1-S | Atomic Alloy (Field-Tested), 51.74
StatTrak™ M4A1-S | Atomic Alloy (Well-Worn), 46.63
StatTrak™ M4A1-S | Atomic Alloy (Battle-Scarred), 51.08
M4A1-S | Player Two (Factory New), 113.42
M4A1-S | Player Two (Minimal Wear), 44.47
M4A1-S | Player Two (Field-Tested), 19.68
M4A1-S | Player Two (Well-Worn), 20.11
M4A1-S | Player Two (Battle-Scarred), 13.88
StatTrak™ M4A1-S | Player Two (Factory New), 189.44
StatTrak™ M4A1-S | Player Two (Minimal Wear), 90.39
StatTrak™ M4A1-S | Player Two (Field-Tested), 41.51
StatTrak™ M4A1-S | Player Two (Well-Worn), 45.99
StatTrak™ M4A1-S | Player Two (Battle-Scarred), 37.05
M4A1-S | Master Piece (Factory New), 328.00
M4A1-S | Master Piece (Minimal Wear), 193.23
M4A1-S | Master Piece (Field-Tested), 125.99
M4A1-S | Master Piece (Well-Worn), 97.29
M4A1-S | Master Piece (Battle-Scarred), 95.20
M4A1-S | Master Piece (Souvenir Factory New), 789.00
M4A1-S | Master Piece (Souvenir Minimal Wear), 190.01
M4A1-S | Master Piece (Souvenir Field-Tested), 125.32
M4A1-S | Master Piece (Souvenir Well-Worn), 96.60
M4A1-S | Master Piece (Souvenir Battle-Scarred), 96.39
★ Paracord Knife | Case Hardened (Factory New), 291.98
★ Paracord Knife | Case Hardened (Minimal Wear), 194.25
★ Paracord Knife | Case Hardened (Field-Tested), 171.74
★ Paracord Knife | Case Hardened (Well-Worn), 155.00
★ Paracord Knife | Case Hardened (Battle-Scarred), 145.43
★ StatTrak™ Paracord Knife | Case Hardened (Factory New), 449.26
★ StatTrak™ Paracord Knife | Case Hardened (Minimal Wear), 249.31
★ StatTrak™ Paracord Knife | Case Hardened (Field-Tested), 178.40
★ StatTrak™ Paracord Knife | Case Hardened (Well-Worn), 183.51
★ StatTrak™ Paracord Knife | Case Hardened (Battle-Scarred), 174.37
FAMAS | Halftone Wash (Factory New), 0.31
FAMAS | Halftone Wash (Minimal Wear), 0.20
FAMAS | Halftone Wash (Field-Tested), 0.15
FAMAS | Halftone Wash (Well-Worn), 0.13
FAMAS | Halftone Wash (Battle-Scarred), 0.15
★ Bowie Knife | Fade (Factory New), 373.78
★ Bowie Knife | Fade (Minimal Wear), 383.01
★ StatTrak™ Bowie Knife | Fade (Factory New), 430.00
★ StatTrak™ Bowie Knife | Fade (Minimal Wear), 600.00
★ Bowie Knife | Autotronic (Factory New), 262.10
★ Bowie Knife | Autotronic (Minimal Wear), 192.35
★ Bowie Knife | Autotronic (Field-Tested), 162.89
★ Bowie Knife | Autotronic (Well-Worn), 164.26
★ Bowie Knife | Autotronic (Battle-Scarred), 150.57
★ StatTrak™ Bowie Knife | Autotronic (Factory New), 258.44
★ StatTrak™ Bowie Knife | Autotronic (Minimal Wear), 208.06
★ StatTrak™ Bowie Knife | Autotronic (Field-Tested), 173.84
★ StatTrak™ Bowie Knife | Autotronic (Well-Worn), 205.54
★ StatTrak™ Bowie Knife | Autotronic (Battle-Scarred), 175.79
★ Flip Knife | Fade (Factory New), 610.00
★ Flip Knife | Fade (Minimal Wear), 595.46
★ StatTrak™ Flip Knife | Fade (Factory New), 566.16
★ StatTrak™ Flip Knife | Fade (Minimal Wear), 569.80
★ Paracord Knife | Blue Steel (Factory New), 198.47
★ Paracord Knife | Blue Steel (Minimal Wear), 153.75
★ Paracord Knife | Blue Steel (Field-Tested), 139.48
★ Paracord Knife | Blue Steel (Well-Worn), 130.34
★ Paracord Knife | Blue Steel (Battle-Scarred), 134.15
★ StatTrak™ Paracord Knife | Blue Steel (Factory New), 280.70
★ StatTrak™ Paracord Knife | Blue Steel (Minimal Wear), 169.69
★ StatTrak™ Paracord Knife | Blue Steel (Field-Tested), 144.41
★ StatTrak™ Paracord Knife | Blue Steel (Well-Worn), 139.62
★ StatTrak™ Paracord Knife | Blue Steel (Battle-Scarred), 179.74
M4A1-S | Mud-Spec (Factory New), 0.91
M4A1-S | Mud-Spec (Minimal Wear), 0.27
M4A1-S | Mud-Spec (Field-Tested), 0.15
M4A1-S | Mud-Spec (Well-Worn), 0.32
M4A1-S | Mud-Spec (Battle-Scarred), 0.34
M4A1-S | Mud-Spec (Souvenir Factory New), 5.56
M4A1-S | Mud-Spec (Souvenir Minimal Wear), 2.16
M4A1-S | Mud-Spec (Souvenir Field-Tested), 1.20
M4A1-S | Mud-Spec (Souvenir Well-Worn), 3.03
M4A1-S | Mud-Spec (Souvenir Battle-Scarred), 2.05
USP-S | Forest Leaves (Factory New), 0.72
USP-S | Forest Leaves (Minimal Wear), 0.08
USP-S | Forest Leaves (Field-Tested), 0.04
USP-S | Forest Leaves (Well-Worn), 0.04
USP-S | Forest Leaves (Battle-Scarred), 0.04
USP-S | Forest Leaves (Souvenir Factory New), 0
USP-S | Forest Leaves (Souvenir Minimal Wear), 55.00
USP-S | Forest Leaves (Souvenir Field-Tested), 47.95
