Item, Buff_Price
StatTrak™ M4A1-S | Leaded Glass (Minimal Wear), 15.16
M4A1-S | Emphorosaur-S (Battle-Scarred), 0.43
AK-47 | Neon Rider (Factory New), 144.76
StatTrak™ AK-47 | Point Disarray (Field-Tested), 26.07
AK-47 | Ice Coaled (Field-Tested), 4.7
StatTrak™ M4A1-S | Chantico's Fire (Minimal Wear), 104.28
AWP | Graphite (Factory New), 136.12
AWP | Medusa (Battle-Scarred), 1632.59
M4A1-S | Nitro (Battle-Scarred), 0.25
AWP | Fever Dream (Battle-Scarred), 10.84
AK-47 | The Outsiders (Factory New), 104.28
StatTrak™ M4A1-S | Chantico's Fire (Field-Tested), 58.73
StatTrak™ AWP | Elite Build (Battle-Scarred), 27.43
StatTrak™ M4A1-S | Atomic Alloy (Well-Worn), 52.69
AK-47 | Orbit Mk01 (Field-Tested), 16.44
StatTrak™ AK-47 | Rat Rod (Battle-Scarred), 10.42
Souvenir AK-47 | Safety Net (Well-Worn), 0
StatTrak™ M4A1-S | Hyper Beast (Well-Worn), 41.92
AWP | Silk Tiger (Battle-Scarred), 189.04
StatTrak™ M4A1-S | Flashback (Factory New), 11.92
Souvenir AK-47 | Steel Delta (Factory New), 13.02
AWP | Pink DDPAT (Minimal Wear), 37.02
Souvenir AWP | Safari Mesh (Factory New), 0
AWP | Silk Tiger (Well-Worn), 178.38
AWP | Black Nile (Battle-Scarred), 2.44
AK-47 | Slate (Factory New), 11.84
StatTrak™ AK-47 | Vulcan (Field-Tested), 401.36
Souvenir M4A1-S | Control Panel (Factory New), 809.43
AWP | Exoskeleton (Well-Worn), 3.26
AWP | Safari Mesh (Well-Worn), 0.06
AK-47 | Frontside Misty (Factory New), 66.89
AWP | Worm God (Field-Tested), 1.55
M4A1-S | Atomic Alloy (Well-Worn), 38.34
StatTrak™ AWP | Fever Dream (Factory New), 29.49
StatTrak™ AK-47 | Aquamarine Revenge (Field-Tested), 82.19
StatTrak™ M4A1-S | Vaporwave (Minimal Wear), 209.12
AWP | Gungnir (Well-Worn), 6901.74
StatTrak™ AWP | Oni Taiji (Factory New), 723.81
Souvenir M4A1-S | Mud-Spec (Battle-Scarred), 2.2
AWP | Gungnir (Battle-Scarred), 6277.61
AK-47 | Safety Net (Battle-Scarred), 2.74
StatTrak™ M4A1-S | Leaded Glass (Factory New), 27.17
AK-47 | Neon Rider (Field-Tested), 39.59
AK-47 | First Class (Well-Worn), 79.37
AK-47 | Nightwish (Minimal Wear), 15.5
M4A1-S | VariCamo (Well-Worn), 0.53
AWP | Electric Hive (Factory New), 45.97
StatTrak™ AWP | Chromatic Aberration (Field-Tested), 17.75
M4A1-S | Mud-Spec (Field-Tested), 0.16
StatTrak™ AWP | Phobos (Well-Worn), 7.68
AWP | Pink DDPAT (Factory New), 103.5
Souvenir AK-47 | Green Laminate (Field-Tested), 13.57
StatTrak™ AK-47 | Neon Rider (Well-Worn), 137.08
AK-47 | Red Laminate (Field-Tested), 56.12
AWP | Safari Mesh (Minimal Wear), 0.1
AWP | Chrome Cannon (Factory New), 131.73
Souvenir AK-47 | Safety Net (Battle-Scarred), 21.53
StatTrak™ AWP | Redline (Field-Tested), 83.7
M4A1-S | Briefing (Battle-Scarred), 2.95
AK-47 | Phantom Disruptor (Factory New), 10.23
StatTrak™ AK-47 | Wasteland Rebel (Minimal Wear), 123.82
StatTrak™ M4A1-S | Vaporwave (Factory New), 362.94
StatTrak™ AK-47 | Redline (Battle-Scarred), 37.53
AWP | Snake Camo (Minimal Wear), 94.68
StatTrak™ AWP | Oni Taiji (Field-Tested), 369.93
Souvenir M4A1-S | Control Panel (Field-Tested), 49.4
StatTrak™ M4A1-S | Nightmare (Minimal Wear), 45.97
Souvenir M4A1-S | VariCamo (Field-Tested), 15.78
StatTrak™ M4A1-S | Vaporwave (Well-Worn), 136.94
AK-47 | Jet Set (Field-Tested), 301.87
Souvenir AK-47 | Safari Mesh (Well-Worn), 9.02
StatTrak™ AWP | Lightning Strike (Factory New), 797.22
AK-47 | Crossfade (Battle-Scarred), 1.95
M4A1-S | Chantico's Fire (Well-Worn), 19.8
StatTrak™ AWP | Man-o'-war (Field-Tested), 89.19
StatTrak™ AK-47 | Aquamarine Revenge (Factory New), 222.29
StatTrak™ M4A1-S | Black Lotus (Field-Tested), 21.75
AK-47 | Gold Arabesque (Battle-Scarred), 1427.04
AK-47 | Blue Laminate (Well-Worn), 13.17
Souvenir AK-47 | Gold Arabesque (Minimal Wear), 2428.44
M4A1-S | Atomic Alloy (Minimal Wear), 47.67
Souvenir AWP | Dragon Lore (Well-Worn), 0
StatTrak™ AK-47 | The Empress (Battle-Scarred), 65.18
StatTrak™ AWP | Chrome Cannon (Factory New), 256.29
StatTrak™ AWP | Electric Hive (Minimal Wear), 67.24
StatTrak™ M4A1-S | Guardian (Field-Tested), 48.65
M4A1-S | Bright Water (Minimal Wear), 27.52
StatTrak™ AK-47 | Vulcan (Minimal Wear), 786.18
M4A1-S | Printstream (Minimal Wear), 272.37
M4A1-S | Imminent Danger (Battle-Scarred), 1219.5
StatTrak™ M4A1-S | Golden Coil (Minimal Wear), 173.71
M4A1-S | Vaporwave (Factory New), 208.84
M4A1-S | Flashback (Factory New), 2.51
M4A1-S | Printstream (Field-Tested), 198.62
M4A1-S | VariCamo (Factory New), 1.19
StatTrak™ M4A1-S | Nightmare (Well-Worn), 16.49
AK-47 | Uncharted (Well-Worn), 0.83
StatTrak™ AK-47 | Orbit Mk01 (Well-Worn), 0
StatTrak™ AK-47 | Fuel Injector (Well-Worn), 233.27
M4A1-S | Golden Coil (Field-Tested), 57.35
M4A1-S | Cyrex (Well-Worn), 21.54
AK-47 | Predator (Battle-Scarred), 17.46
AWP | Oni Taiji (Well-Worn), 150.94
M4A1-S | Welcome to the Jungle (Factory New), 2119.22
StatTrak™ AWP | Man-o'-war (Minimal Wear), 93.99
Souvenir AWP | Pit Viper (Well-Worn), 0
StatTrak™ AWP | Phobos (Factory New), 6.86
StatTrak™ AK-47 | Elite Build (Field-Tested), 4.64
AK-47 | B the Monster (Field-Tested), 272.99
AK-47 | Wild Lotus (Battle-Scarred), 3135.38
M4A1-S | Flashback (Field-Tested), 0.43
StatTrak™ AWP | Asiimov (Field-Tested), 230.04
AK-47 | Jaguar (Field-Tested), 79.99
StatTrak™ AK-47 | Elite Build (Factory New), 25.05
AK-47 | Blue Laminate (Field-Tested), 11.05
AK-47 | Safari Mesh (Well-Worn), 0.07
M4A1-S | Black Lotus (Factory New), 21.13
M4A1-S | Night Terror (Field-Tested), 0.41
AWP | PAW (Minimal Wear), 2.4
Souvenir AWP | Desert Hydra (Factory New), 2591.73
Souvenir M4A1-S | VariCamo (Battle-Scarred), 17.29
StatTrak™ AK-47 | Jaguar (Factory New), 343.04
