★ StatTrak™ Karambit | Ultraviolet (Battle-Scarred)
★ StatTrak™ Karambit | Scorched (Minimal Wear)
★ Driver Gloves | Rezan the Red (Factory New)
★ Karambit | Bright Water (Well-Worn)
★ M9 Bayonet | Crimson Web (Battle-Scarred)
★ Karambit | Urban Masked (Minimal Wear)
★ StatTrak™ M9 Bayonet | Bright Water (Factory New)
★ Karambit | Safari Mesh (Factory New)
★ Karambit | Bright Water (Battle-Scarred)
★ StatTrak™ Talon Knife | Slaughter (Minimal Wear)
★ M9 Bayonet | Night (Minimal Wear)
★ M9 Bayonet | Freehand (Minimal Wear)
★ StatTrak™ M9 Bayonet | Crimson Web (Battle-Scarred)
★ StatTrak™ M9 Bayonet | Crimson Web (Battle-Scarred)
★ StatTrak™ M9 Bayonet | Freehand (Factory New)
★ M9 Bayonet | Damascus Steel (Well-Worn)
★ StatTrak™ M9 Bayonet | Case Hardened (Battle-Scarred)
★ StatTrak™ Bayonet | Fade (Minimal Wear)
★ StatTrak™ Skeleton Knife | Slaughter (Field-Tested)
★ StatTrak™ Karambit | Night (Battle-Scarred)
★ Karambit | Ultraviolet (Battle-Scarred)
★ StatTrak™ Karambit | Bright Water (Battle-Scarred)
★ M9 Bayonet | Damascus Steel (Battle-Scarred)
★ StatTrak™ Karambit | Safari Mesh (Minimal Wear)
★ M9 Bayonet | Boreal Forest (Factory New)
★ Flip Knife | Gamma Doppler (Factory New)
★ StatTrak™ Skeleton Knife | Slaughter (Minimal Wear)
★ Flip Knife | Gamma Doppler (Minimal Wear)
★ Hand Wraps | Badlands (Factory New)
★ StatTrak™ M9 Bayonet | Night (Minimal Wear)
★ Karambit | Scorched (Field-Tested)
★ Skeleton Knife | Slaughter (Field-Tested)
★ M9 Bayonet | Case Hardened (Well-Worn)
★ M9 Bayonet | Stained (Minimal Wear)
★ StatTrak™ M9 Bayonet | Damascus Steel (Well-Worn)
★ StatTrak™ Flip Knife | Gamma Doppler (Minimal Wear)
★ StatTrak™ Karambit | Scorched (Well-Worn)
★ StatTrak™ Talon Knife | Tiger Tooth (Minimal Wear)
★ StatTrak™ Karambit | Urban Masked (Minimal Wear)
★ StatTrak™ M9 Bayonet | Freehand (Minimal Wear)
★ Specialist Gloves | Emerald Web (Well-Worn)
★ StatTrak™ M9 Bayonet | Damascus Steel (Field-Tested)
★ Skeleton Knife
★ Karambit | Boreal Forest (Minimal Wear)
★ StatTrak™ Flip Knife | Gamma Doppler (Factory New)
★ StatTrak™ M9 Bayonet | Case Hardened (Well-Worn)
★ Karambit | Forest DDPAT (Minimal Wear)
★ Talon Knife | Crimson Web (Minimal Wear)
★ Talon Knife | Crimson Web (Minimal Wear)
★ StatTrak™ M9 Bayonet | Rust Coat (Well-Worn)
★ M9 Bayonet | Bright Water (Minimal Wear)
★ StatTrak™ Classic Knife | Fade (Minimal Wear)
★ M9 Bayonet | Crimson Web (Well-Worn)
★ Bayonet | Doppler (Minimal Wear)
★ StatTrak™ M9 Bayonet | Stained (Minimal Wear)
★ M9 Bayonet | Stained (Field-Tested)
★ StatTrak™ M9 Bayonet | Bright Water (Minimal Wear)
★ StatTrak™ Karambit | Boreal Forest (Minimal Wear)
★ StatTrak™ Karambit | Forest DDPAT (Minimal Wear)
★ StatTrak™ Karambit | Scorched (Field-Tested)
★ Karambit | Urban Masked (Field-Tested)
★ Talon Knife | Slaughter (Field-Tested)
★ M9 Bayonet | Case Hardened (Battle-Scarred)
★ Specialist Gloves | Crimson Web (Minimal Wear)
★ Driver Gloves | Imperial Plaid (Minimal Wear)
★ Flip Knife | Fade (Factory New)
★ StatTrak™ Kukri Knife | Fade (Minimal Wear)
★ M9 Bayonet | Freehand (Field-Tested)
★ M9 Bayonet | Ultraviolet (Field-Tested)
★ StatTrak™ Bayonet | Doppler (Factory New)
★ Karambit | Boreal Forest (Field-Tested)
★ Bayonet | Ultraviolet (Factory New)
★ Specialist Gloves | Forest DDPAT (Factory New)
★ Bayonet | Doppler (Factory New)
★ StatTrak™ Bayonet | Slaughter (Factory New)
★ Skeleton Knife | Crimson Web (Field-Tested)
★ StatTrak™ Talon Knife | Slaughter (Field-Tested)
★ Karambit | Scorched (Well-Worn)
★ StatTrak™ M9 Bayonet | Stained (Well-Worn)
★ StatTrak™ M9 Bayonet | Stained (Field-Tested)
★ StatTrak™ Karambit | Urban Masked (Well-Worn)
★ Karambit | Scorched (Battle-Scarred)
★ StatTrak™ Karambit | Scorched (Battle-Scarred)
★ Kukri Knife | Fade (Factory New)
★ Karambit | Urban Masked (Battle-Scarred)
★ Driver Gloves | Diamondback (Factory New)
★ Talon Knife | Night Stripe (Factory New)
★ M9 Bayonet | Lore (Battle-Scarred)
★ Kukri Knife | Fade (Minimal Wear)
★ Sport Gloves | Nocts (Field-Tested)
★ StatTrak™ Karambit | Urban Masked (Field-Tested)
★ Bayonet | Marble Fade (Minimal Wear)
★ StatTrak™ M9 Bayonet | Lore (Battle-Scarred)
★ Karambit | Forest DDPAT (Field-Tested)
★ Karambit | Urban Masked (Well-Worn)
★ StatTrak™ Stiletto Knife | Marble Fade (Minimal Wear)
★ Skeleton Knife | Blue Steel (Factory New)
★ Talon Knife | Case Hardened (Minimal Wear)
★ Flip Knife | Fade (Minimal Wear)
★ StatTrak™ Kukri Knife | Fade (Factory New)
★ M9 Bayonet | Bright Water (Field-Tested)
★ StatTrak™ Kukri Knife | Case Hardened (Factory New)
